Author,Comment
@nguyetnguyen-jw8yr,Đúng vậy uổng cho văn Quyến
@kuppi-org6161,Đội tuyển việt nam giờ cần một tiền đạo giống anh .. mà giờ thấy toàn chân gỗ
@cutran6467,Thằng chó đẻ giét thằng v quyến di
@leeduwowng4413,"chưa có tiền đạo nào sử lý bóng mềm mại và khả năng chơi bóng như VQ ,đẳng cấp hãy xem các tiền đạo bây giờ sử lý  bóng cứng nếu k nói là yếu"
@changlinachan6764,Tại sao hả anh?Dù tiền nhiều đến mấy cũng đừng vì nó mà từ bỏ sự nghiệp mà!😢
@haiphung3204,Thằng quyến là thiên tài thật. Nếu biết mài rũa rèn luyện thì khác gì Madonna đâu. 🤣
@Lucifer.Manh.Nguyen.1588,"Văn Quyến như mối tình đầu của mọi thằng vậy , trong tiềm thức nó thật đẹp , thật thơm , nhưng chỉ có thể dừng lại ở đó ... và thật tiếc ."
@phuongloanvu4919,Với tôi đã bán nước thì đừng có ngắn cái mác gì cho những người như thế vì đạo đức con người đó k xứng đáng để được gọi nhu vậy
@thoangtran1086,Anh ấy Không thua bất kỳ chỉ số nào của các cầu thủ Thế Giới Cả ... còn nhớ câu lạc bộ Everton đã đặt bút ký nhưng phút cuối do nhiều yếu tố nên vỡ lỡ thật tiếc cho một thần đồng
@luongmai7878,Do những ông thầy. Làm hư tài năng.
@thangthe7658,"Bỏ qua vấn đề ngoài lề , trong bóng đá việt chưa có ai đạt được đẳng cấp văn quyến . nếu sinh thời bây giờ có thể đá được ở châu âu"
@vanviet7217,rồi có ai xem đi xem lại trên dươi 10 lần như e k...2022.
@hoanglehuy9922,Hồi bập bẹ xem đá bóng được nghe rất nhiều về văn quyến nhưng khi lớn lên thì nghe tin anh đã bước vào sai lầm mình đã rất buồn khi xem lại nhưng pha xử lý của quyến
@huyenvu6019,nói thật thời văn quyến mãi là đẳng cấp huyền thoại theo thời gian
@Anissotie,"Do thời đấy thiếu thốn quá nên ah mới thế, thật tiết cho 1 thiên tài:((+"
@hieunguyen-wu3dq,làm quá!
@hangdinh486,thật tiếc cho văn quyến
@hangdinh486,đúng là văn quyến là sai lầm thật nhưng quyến là cầu thủ xuất sắc nhất trong lịch sử bóng đá Việt Nam
@MinhLe-gw1hl,"Mình không hâm mộ bóng đá nhưng hâm mộ Tài năng sử tự tin và sức hút tự nhiên toát lên ở anh,thời đó anh cái tên mà tất cả già trẻ gái trai vô cùng yêu thích.nhớ hồi 2005 thời điểm bán độ mình khóc suốt khóc vì thất vọng vì tiếc vì thương,về sau không xem đá bóng nữa"
@vandungtran987,Ko biet bao gio viet nam se co than dong nhu van quyen
@thimaibui4163,Văn Quyến thời điểm trước đá nổi bật hay đến nỗi khác biệt so với phần còn lại của thời cuộc.
@thay_ooo_no2537,Tôi đã rất buồn và ko còn muốn xem bóng đá khi quyến ko còn thi đấu.ai đó dù mạnh mẽ rồi sẽ bật khóc khi chứng kiến khoảnh khắc thiên tài của quyến.ko quá khi nc anh là tai năng hay nhất của VN từng sản sinh.ko tin b hãy xem pha ghi bàn vào thái và Malaysia
@maytruc8063,Tiếc cho thiên tài bóng đá việt.100 có một
@davidnguyen0812,Giống Ngô Kinh ghê...
@PhuongAnhNguyen-sd1og,Hay noi vê hiên tai con qua khư thi cho qua đi nhât la đo lai la qua khư buông
@hoatranvan1287,Hỏi thằng Hữu Thằng thì biết.
@vuareview5207,Nhân tài thì thường được chiếu cố. Nhưng lãnh đạo ta có mắt như mù. Tham nhũng 5000 tỷ thì chỉ bị kỉ luật. Hâhhaa 😂
@woongzzz2911,Nếu Văn Quyến ngày xưa ko sa ngã thì giờ đây đã có chỗ đứng và tiếng tăm trong làng bóng đá ... <br>Chí it nếu ko đá nữa thì giờ cũng là 1 HLV <br>ko thì cũng là chủ tịch cho 1 câu lạc bộ nào đó ở V leach rồi.. Chắc Quyến giờ đây đang thấy hối tiếc cho tiếng tăm và tiền đồ của mình ...<br>Thật đáng buồn...
@dongphuongdooo,Tuổi thơ quá cơ cực và Quyến sinh ra ngay thời điểm lương thưởng bóng đá nhường như chỉ tượng trưng đã khiến thần đồng trăm năm có 1 của bóng đá nước nhà lạc lối...
@ducanhvu216,ngày xưa thôi thần đồng gì
@Hiền_NguyễnTV,Nổi nhục va sư xấu hổ ngàn năm ko phai
@bumm4152,Công vinh rất giỏi nhưng người hâm mộ vẫn thích văn quyến hơn
@Haovica,"<a href=""https://www.youtube.com/watch?v=5LxjFoypQo4&amp;t=545"">9:05</a> cú sút lịch sử sút vào khung thành của thủ môn giỏi nhất hàn quốc đó giờ và là chiến thắng lịch sử của đội tuyển quốc gia việt nam!"
@viettrungpham4571,giờ ai bán độ thắng Ả Rập hộ tui cái 😂
